no,cex,chain,nama_token,ticker,sc,decimals,feeWD,trade,deposit,withdraw,price
1077,MEXC,bsc,Any Dog,ADOLD,0x5063c2109fD05A961A015b0DA54C98A5f83D708d,18,1,OFF,false,true,
1078,MEXC,bsc,Position Exchange,POSI,0x5CA42204cDaa70d5c773946e69dE942b85CA6706,18,0,OFF,false,true,
1079,MEXC,bsc,WorkQuest Token,WQT,0xBC648Cbd7B2B2c666f9f46aC5C5Ce6ee77f9C407,18,9076,OFF,true,true,
1080,MEXC,bsc,Interactive AI,ITOLD,0xA9E2A4ca4e2A9292AE6efd5DEbc19c06b28dB099,18,0,OFF,false,false,
1081,MEXC,bsc,TOPAI,TOPAI,0x62A210540243DE11260C0F676aE8Bcb1e4FC70bb,18,0,OFF,false,true,
1082,MEXC,bsc,WeSendit,WSI,0x837A130aED114300Bab4f9f1F4f500682f7efd48,18,272,OFF,true,true,
1083,MEXC,bsc,GROK,GROKBSC,0xC53ca0d56C420E8f913316e84d2c492eDe99c61e,18,10,OFF,false,true,
1084,MEXC,bsc,Wall Street Memes,WSM,0x62694D43Ccb9B64e76e38385d15e325c7712A735,18,307,OFF,false,true,
1085,MEXC,bsc,CIRI Coin,CIRI,0x3Bb8B75ae92B16A6428962dd891A07974422A2A3,18,0,OFF,false,true,
1086,MEXC,bsc,Wag the dog,WTD,0xC4e11fa8BA42C413ae708fb86cA19e3395Eaf64A,18,0,OFF,false,true,
1087,MEXC,bsc,Age of Tanks,AOTOLD,0x9589014f7a8547b89a6331eeee32b7fbd5852af9,6,0,OFF,false,false,
1088,MEXC,bsc,Silense,AISOLD2,0x0DE06e04dce22b78633466a8f364Be331690560a,18,0,OFF,false,true,
1089,MEXC,bsc,Frenzy,FRZ,0x71e13610DcA022E43B6fa9118Fca9a79335e5D20,18,0,OFF,false,true,
1090,MEXC,bsc,FSGAME,FSG,0x10e7C3CDCD51f5C51165fF454C1b3B2061BE9ED3,18,0,OFF,false,true,
1091,MEXC,bsc,FreeStyle Classic,FST,0xfa35E2250E376c23955247383DC32C79082e7fcC,18,5,ON,true,true,0.05385
1092,MEXC,bsc,Synth Ai,SYAI,0x7d23DE8D1e71B42b821EA4157Ca6b81524729cf3,18,0,OFF,false,true,
1093,MEXC,bsc,ArgonToken,ARGON,0x851f7a700c5d67db59612b871338a85526752c25,18,0,OFF,false,true,
1094,MEXC,bsc,Barely Not Broke,BNBCOIN,0xd2B473da09f9999d60765016059cb69d53694444,18,0,OFF,false,true,
1095,MEXC,bsc,MetaShooter,MHUNT,0x2C717059b366714d267039aF8F59125CAdce6D8c,18,0,OFF,false,true,
1096,MEXC,bsc,PixelProwler,PPROWLER,0xdc68996773d3811c7EA7AcB5F563F84156Ee0a9F,6,0,OFF,false,true,
1097,MEXC,bsc,Race Kingdom,ATOZ,0x3606F220daeaEb3d47aC1923A8Ce2A61205C88cD,18,0,OFF,false,true,
1098,MEXC,bsc,MuratiAI,MURATIAI,0x69C2fcAe7e30b429166BD616A322e32BeC036bCf,18,114603,OFF,false,true,
1099,MEXC,bsc,MetaPlay,MPLAY,0x9e3ad692084737daf3f8e92bdfb4030965d2d5e6,18,0,OFF,false,true,
1100,MEXC,bsc,Moon Fox,MFOX,0x200a19aD7a20520809cd3E65B1DD1494b26Ca37b,18,0,OFF,false,true,
1101,MEXC,bsc,Shiro,SHIROOLD,0x425e800E22d521e0C8f5EBFE56E828c704510E3f,18,0,OFF,false,false,
1102,MEXC,bsc,CUDIS,CUDIS,0xC1353D3Ee02FDbd4f65F92EEe543cfd709049CB1,18,2,ON,true,false,0.07932
1103,MEXC,bsc,Meta FPS,MFPS,0x37407D1CAbC422155A148bc7A3a0587C64225ea2,18,0,OFF,false,true,
1104,MEXC,bsc,WeWay,WWY,0x9Ab70e92319f0b9127df78868Fd3655fB9f1E322,18,0,OFF,false,true,
1105,MEXC,bsc,REAP,REAP,0x6117941Ff44c287C7bec70432c270bBe29C29e5f,9,0,OFF,false,true,
